827520.56250,976527.75000
451449.81250,608896.43750
586631.37500,716681.50000
715667.18750,887786.00000
633232.75000,800076.75000
611284.25000,773884.00000
602799.25000,759996.12500
392608.84375,558039.43750
459906.15625,602784.37500
574377.50000,723598.50000
504664.18750,618813.87500
428824.46875,615391.87500
488655.59375,608698.06250
332693.25000,432782.15625
332517.40625,435463.40625
386913.40625,503935.93750
232005.51562,311424.68750
296314.18750,379230.93750
357610.46875,468498.53125
369262.84375,468938.53125
458170.68750,513996.15625
620873.31250,704364.00000
435936.28125,481622.62500
135106.37500,177844.07812
223616.92188,270618.71875
249896.78125,298374.34375
583477.93750,644200.68750
141868.82812,175522.12500
159621.32812,204740.56250
219234.15625,255732.46875
308653.68750,365301.31250
414051.12500,463428.06250
136289.70312,162091.54688
144460.48438,181872.23438
60140.28125,86830.98438
107498.11719,137579.95312
148777.75000,177643.37500
232007.95312,266855.53125
125049.13281,156694.79688
129591.09375,159086.32812
221114.28125,252166.03125
209171.40625,243468.21875
429205.84375,466887.12500
77724.27344,109793.33594
168274.12500,193071.89062
191816.31250,225331.26562
79461.00000,102105.14062
50909.91016,72614.48438
103535.60156,129571.43750
55747.30469,75487.62500
62251.01953,79007.68750
64407.64453,85600.00000
53713.53516,72409.39062
32849.15625,48139.17188
24981.08789,37675.03906
42082.49609,60937.18750
74969.19531,94396.81250
62761.80469,80733.72656
45272.05859,60590.40234
38546.86719,50524.46875
113662.86719,132044.96875
114776.42969,132068.34375
51567.30859,67069.00000
29531.49414,43627.87500
33358.66797,46854.51953
27531.22266,38068.37891
34238.70312,44487.22656
44761.38672,53697.89844
19905.28320,28026.50781
66325.53125,79819.69531
20572.84180,29528.34766
34972.16406,44383.70703
26060.93945,35218.75781
47265.01953,54884.06250
16490.78906,22378.61328
14647.69043,20406.48438
16296.25488,22613.64453
18458.12695,24073.69141
18939.99805,22807.45312
12668.26172,16048.40820
16078.13281,19103.04688
13978.64160,16180.59570
16541.54297,19209.14453
20718.30664,23281.94922
16925.62305,18804.98047
13400.64355,15079.90234
11495.18359,12584.52930
13515.64844,15987.59766
14646.43164,15987.59766
12666.97168,13411.35254
11980.68359,12225.18750
